Tire Compound,Track Temperature,Laps Driven,Track Surface,Car Weight (kg),Driving Style,Weather,Tire Wear (%)
Medium,42,60,Rough,707,Balanced,Dry,71.97142857142858
Hard,10,50,Rough,654,Aggressive,Dry,69.14285714285714
Medium,36,9,Rough,643,Balanced,Dry,63.48571428571429
Medium,22,5,Smooth,680,Conservative,Dry,35.114285714285714
Soft,12,61,Smooth,629,Balanced,Dry,61.11428571428572
Hard,48,4,Rough,665,Balanced,Dry,60.17142857142857
Hard,15,69,Smooth,735,Conservative,Dry,37.857142857142854
Medium,17,62,Rough,613,Balanced,Dry,67.25714285714287
Medium,36,55,Rough,700,Conservative,Wet,65.05714285714285
Hard,18,58,Rough,705,Aggressive,Dry,71.88571428571429
Soft,46,62,Smooth,702,Conservative,Dry,58.057142857142864
Soft,42,58,Rough,661,Aggressive,Dry,91.68571428571428
Wet,33,50,Rough,674,Conservative,Dry,63.74285714285715
Soft,24,49,Rough,678,Aggressive,Dry,86.8
Wet,41,3,Rough,706,Balanced,Wet,73.62857142857143
Medium,41,47,Rough,695,Aggressive,Wet,84.91428571428571
Wet,33,31,Rough,639,Conservative,Wet,66.02857142857144
Hard,21,50,Smooth,740,Aggressive,Dry,56.34285714285714
Soft,48,51,Smooth,706,Conservative,Dry,56.885714285714286
Hard,11,33,Smooth,616,Conservative,Dry,31.91428571428571
Medium,12,35,Rough,614,Balanced,Dry,62.400000000000006
Wet,46,69,Smooth,615,Balanced,Dry,64.05714285714285
Medium,26,42,Smooth,612,Conservative,Dry,41.2
Soft,11,15,Smooth,635,Balanced,Wet,59.34285714285714
Hard,11,58,Rough,642,Aggressive,Dry,70.48571428571428
Medium,37,52,Smooth,713,Balanced,Wet,59.82857142857143
Medium,32,18,Smooth,673,Aggressive,Wet,63.97142857142857
Wet,46,40,Rough,680,Aggressive,Dry,84.91428571428571
Soft,41,46,Smooth,693,Aggressive,Dry,74.77142857142857
Wet,42,53,Smooth,740,Aggressive,Wet,75.97142857142858
Hard,10,54,Smooth,629,Aggressive,Wet,59.714285714285715
Wet,28,18,Smooth,629,Conservative,Wet,48.171428571428564
Medium,11,61,Smooth,609,Aggressive,Wet,65.91428571428571
Hard,35,58,Rough,698,Aggressive,Dry,75.28571428571428
Medium,41,64,Rough,693,Aggressive,Wet,87.34285714285716
Medium,15,67,Smooth,638,Balanced,Wet,57.57142857142857
Wet,41,27,Rough,636,Conservative,Dry,62.05714285714286
Medium,13,17,Smooth,730,Aggressive,Dry,55.028571428571425
Medium,20,25,Smooth,688,Conservative,Dry,37.57142857142857
Wet,26,18,Smooth,613,Balanced,Wet,57.77142857142857
Wet,47,54,Smooth,638,Aggressive,Wet,77.11428571428571
Wet,33,56,Smooth,729,Conservative,Wet,54.6
Medium,14,5,Smooth,642,Balanced,Wet,48.51428571428572
Soft,43,0,Rough,730,Balanced,Dry,73.6
Medium,15,7,Smooth,607,Conservative,Wet,39.0
Hard,31,50,Rough,695,Aggressive,Wet,78.34285714285714
Medium,20,24,Rough,664,Conservative,Dry,52.42857142857143
Soft,25,46,Smooth,678,Conservative,Wet,56.57142857142858
Soft,42,54,Rough,731,Aggressive,Wet,96.11428571428573
Wet,18,63,Smooth,667,Aggressive,Wet,72.6
Soft,15,9,Rough,691,Conservative,Dry,59.28571428571429
Soft,25,55,Rough,609,Aggressive,Wet,92.85714285714285
Soft,38,11,Rough,674,Aggressive,Wet,89.17142857142856
Medium,12,32,Smooth,660,Balanced,Wet,51.971428571428575
Soft,29,16,Rough,646,Balanced,Dry,73.08571428571429
Medium,45,60,Rough,602,Balanced,Dry,72.57142857142857
Soft,28,9,Smooth,702,Aggressive,Wet,71.88571428571429
Medium,35,30,Rough,616,Balanced,Wet,71.28571428571428
Soft,12,59,Rough,621,Aggressive,Wet,90.82857142857144
Soft,28,69,Rough,715,Aggressive,Wet,95.45714285714286
Soft,29,16,Rough,690,Balanced,Wet,78.08571428571429
Hard,41,49,Rough,743,Balanced,Dry,65.19999999999999
Medium,16,36,Smooth,703,Conservative,Wet,43.34285714285714
Soft,42,61,Smooth,602,Aggressive,Dry,77.11428571428571
Wet,49,28,Rough,651,Balanced,Dry,73.8
Medium,48,31,Rough,710,Balanced,Dry,69.02857142857142
Soft,27,10,Smooth,641,Balanced,Dry,56.828571428571436
Hard,49,5,Smooth,729,Aggressive,Dry,55.51428571428572
Hard,10,34,Rough,638,Aggressive,Wet,71.85714285714285
Wet,20,32,Smooth,645,Aggressive,Wet,68.57142857142858
Hard,37,17,Smooth,647,Balanced,Wet,49.82857142857143
Wet,34,36,Smooth,626,Conservative,Wet,51.942857142857136
Hard,32,12,Smooth,614,Conservative,Dry,33.114285714285714
Wet,40,63,Rough,606,Aggressive,Dry,87.0
Soft,39,0,Rough,708,Balanced,Wet,77.8
Soft,44,62,Smooth,641,Aggressive,Wet,82.65714285714284
Wet,16,33,Smooth,608,Balanced,Dry,52.91428571428572
Medium,25,9,Rough,704,Conservative,Wet,56.28571428571428
Soft,35,6,Rough,733,Conservative,Wet,67.85714285714286
Hard,11,55,Smooth,675,Aggressive,Dry,55.05714285714285
Wet,10,36,Rough,629,Aggressive,Wet,82.14285714285715
Medium,21,28,Rough,683,Aggressive,Dry,73.2
Soft,14,11,Smooth,725,Balanced,Dry,54.37142857142858
Hard,46,16,Rough,683,Aggressive,Dry,71.48571428571428
Soft,41,47,Rough,653,Aggressive,Wet,94.91428571428571
Wet,18,25,Smooth,709,Balanced,Wet,57.17142857142857
Hard,44,11,Smooth,626,Conservative,Wet,40.371428571428574
Medium,28,20,Smooth,683,Balanced,Dry,48.457142857142856
Wet,25,41,Smooth,606,Conservative,Dry,45.857142857142854
Wet,12,60,Rough,703,Conservative,Wet,65.97142857142858
Soft,29,57,Smooth,671,Balanced,Dry,63.94285714285714
Medium,33,53,Smooth,601,Conservative,Wet,49.17142857142857
Medium,42,33,Rough,741,Conservative,Wet,63.114285714285714
Wet,33,6,Rough,737,Balanced,Dry,67.45714285714286
Medium,20,34,Smooth,649,Balanced,Wet,53.85714285714286
Soft,17,14,Smooth,745,Balanced,Wet,60.4
Wet,45,64,Smooth,617,Aggressive,Wet,78.14285714285714
Medium,47,24,Smooth,615,Aggressive,Wet,67.82857142857142
Hard,49,58,Rough,651,Aggressive,Dry,78.08571428571429
Soft,29,5,Rough,683,Conservative,Wet,66.5142857142857
Medium,44,51,Smooth,695,Conservative,Dry,46.08571428571429
Hard,34,20,Smooth,641,Conservative,Wet,39.65714285714286
Soft,44,31,Rough,712,Balanced,Wet,83.22857142857143
Hard,34,52,Rough,723,Aggressive,Wet,79.22857142857143
Soft,38,58,Smooth,614,Aggressive,Wet,80.88571428571427
Hard,27,68,Rough,689,Balanced,Wet,70.11428571428571
Hard,27,61,Rough,641,Aggressive,Dry,74.11428571428571
Soft,11,3,Rough,644,Aggressive,Wet,82.62857142857143
Medium,44,17,Smooth,693,Aggressive,Wet,66.22857142857143
Wet,25,55,Smooth,706,Aggressive,Dry,67.85714285714286
Wet,45,23,Rough,621,Conservative,Wet,67.28571428571429
Soft,42,65,Smooth,727,Balanced,Wet,72.68571428571428
Wet,13,12,Smooth,637,Conservative,Dry,39.31428571428571
Hard,42,61,Smooth,696,Balanced,Dry,52.114285714285714
Medium,23,53,Smooth,700,Balanced,Wet,57.17142857142857
Hard,30,14,Rough,606,Conservative,Wet,53.00000000000001
Soft,29,68,Smooth,643,Aggressive,Dry,75.51428571428572
Soft,17,2,Smooth,675,Aggressive,Wet,68.68571428571428
Medium,16,36,Rough,606,Balanced,Dry,63.34285714285714
Soft,12,36,Smooth,659,Aggressive,Dry,67.54285714285714
Wet,26,2,Rough,600,Balanced,Dry,65.48571428571428
Soft,42,62,Smooth,661,Aggressive,Dry,77.25714285714287
Soft,21,34,Smooth,686,Balanced,Dry,59.05714285714286
Hard,31,51,Smooth,688,Conservative,Dry,38.48571428571429
Medium,31,27,Smooth,617,Aggressive,Dry,60.05714285714285
Wet,39,17,Smooth,707,Aggressive,Dry,65.22857142857143
Medium,47,35,Rough,734,Conservative,Wet,64.39999999999999
Medium,47,32,Smooth,714,Conservative,Wet,48.97142857142857
Hard,17,63,Rough,653,Balanced,Dry,62.400000000000006
Wet,36,25,Smooth,666,Aggressive,Dry,65.77142857142857
Soft,36,47,Smooth,692,Aggressive,Dry,73.91428571428571
Wet,43,39,Smooth,737,Conservative,Wet,54.17142857142857
Wet,30,16,Rough,658,Conservative,Wet,63.28571428571429
Wet,39,39,Smooth,668,Aggressive,Wet,73.37142857142857
Hard,42,6,Smooth,697,Conservative,Dry,34.25714285714286
Medium,37,56,Smooth,607,Conservative,Wet,50.4
Medium,42,7,Rough,654,Conservative,Dry,54.39999999999999
Soft,14,55,Rough,733,Conservative,Wet,70.65714285714286
Medium,28,30,Rough,728,Aggressive,Dry,74.88571428571429
Medium,13,58,Rough,655,Aggressive,Wet,80.88571428571429
Hard,44,57,Rough,703,Conservative,Wet,61.942857142857136
Hard,26,11,Smooth,713,Aggressive,Wet,56.77142857142857
Hard,37,47,Rough,687,Conservative,Wet,59.114285714285714
Wet,39,30,Smooth,737,Conservative,Wet,52.08571428571428
Soft,38,62,Smooth,707,Conservative,Dry,56.457142857142856
Wet,15,38,Rough,622,Aggressive,Dry,78.42857142857143
Wet,44,19,Smooth,743,Balanced,Dry,56.51428571428571
Medium,46,47,Rough,700,Conservative,Wet,65.91428571428571
Wet,33,53,Smooth,743,Conservative,Wet,54.17142857142857
Wet,38,28,Smooth,655,Aggressive,Dry,66.6
Hard,40,47,Smooth,707,Conservative,Wet,44.714285714285715
Wet,44,55,Rough,694,Conservative,Dry,66.65714285714286
Wet,42,16,Rough,605,Conservative,Wet,65.68571428571428
Soft,30,8,Rough,629,Balanced,Wet,77.14285714285714
Medium,41,33,Rough,728,Conservative,Wet,62.91428571428572
Hard,32,44,Rough,650,Balanced,Wet,67.68571428571428
Medium,42,8,Smooth,705,Aggressive,Wet,64.54285714285714
Medium,12,6,Smooth,688,Aggressive,Dry,53.25714285714285
Hard,27,15,Smooth,726,Aggressive,Dry,52.542857142857144
Medium,34,18,Rough,645,Aggressive,Wet,79.37142857142858
Medium,40,5,Smooth,720,Balanced,Dry,48.71428571428572
Medium,12,10,Smooth,748,Aggressive,Dry,53.82857142857142
Hard,49,60,Rough,698,Conservative,Wet,63.371428571428574
Wet,33,41,Rough,668,Aggressive,Dry,82.45714285714286
Wet,41,12,Rough,662,Balanced,Wet,74.91428571428571
Medium,31,11,Smooth,649,Balanced,Dry,47.77142857142857
Soft,32,19,Smooth,611,Conservative,Wet,54.114285714285714
Wet,11,49,Smooth,668,Conservative,Wet,49.2
Medium,36,35,Smooth,672,Aggressive,Wet,67.2
Hard,11,68,Rough,643,Conservative,Dry,51.91428571428571
Soft,35,36,Rough,651,Aggressive,Wet,92.14285714285715
Soft,26,11,Rough,608,Balanced,Wet,76.77142857142857
Wet,49,39,Rough,717,Conservative,Dry,65.37142857142857
Medium,42,53,Smooth,609,Balanced,Wet,60.97142857142857
Wet,18,1,Rough,645,Conservative,Wet,58.74285714285713
Medium,48,49,Rough,702,Balanced,Wet,76.6
Medium,38,40,Smooth,636,Balanced,Dry,53.31428571428571
Soft,35,44,Smooth,651,Balanced,Wet,68.28571428571429
Hard,44,8,Rough,698,Balanced,Dry,59.94285714285715
Soft,34,61,Rough,680,Balanced,Dry,80.51428571428572
Soft,33,46,Rough,612,Aggressive,Wet,93.17142857142858
Wet,22,4,Smooth,733,Conservative,Wet,44.97142857142856
Soft,16,0,Smooth,700,Aggressive,Dry,63.2
Soft,45,43,Rough,727,Aggressive,Wet,95.14285714285714
Wet,29,21,Smooth,647,Aggressive,Wet,68.8
Soft,10,37,Smooth,610,Aggressive,Wet,72.28571428571429
Wet,17,18,Rough,680,Conservative,Wet,60.97142857142857
Soft,25,30,Smooth,604,Conservative,Dry,49.28571428571429
Soft,23,66,Smooth,605,Aggressive,Wet,79.02857142857142
Wet,21,41,Rough,716,Aggressive,Dry,80.05714285714285
Wet,32,25,Rough,748,Balanced,Wet,74.97142857142858
Soft,24,12,Smooth,641,Aggressive,Wet,71.5142857142857
Medium,37,57,Rough,680,Conservative,Dry,60.542857142857144
Hard,43,17,Rough,602,Conservative,Wet,56.02857142857143
Medium,11,66,Rough,659,Conservative,Dry,56.628571428571426
Soft,41,2,Rough,692,Aggressive,Wet,88.4857142857143
Hard,32,54,Rough,648,Conservative,Dry,54.114285714285714
Wet,31,57,Rough,633,Conservative,Dry,64.34285714285714
Wet,34,62,Smooth,636,Aggressive,Dry,70.65714285714286
Wet,31,51,Smooth,641,Balanced,Dry,58.48571428571429
Wet,31,23,Smooth,600,Conservative,Wet,49.48571428571428
Medium,15,8,Smooth,731,Balanced,Wet,49.142857142857146
Hard,24,36,Smooth,702,Conservative,Dry,34.94285714285714
Soft,46,52,Rough,741,Conservative,Dry,71.62857142857143
Medium,42,23,Rough,709,Balanced,Wet,71.68571428571428
Hard,17,20,Rough,745,Conservative,Wet,51.25714285714287
Soft,14,39,Rough,633,Conservative,Wet,68.37142857142857
Soft,48,61,Smooth,600,Balanced,Dry,68.31428571428572
Soft,13,69,Rough,652,Balanced,Wet,82.45714285714286
Soft,15,68,Rough,621,Balanced,Dry,77.71428571428571
Hard,41,13,Rough,749,Balanced,Dry,60.05714285714285
Hard,39,41,Rough,615,Balanced,Dry,63.657142857142865
Hard,44,49,Smooth,718,Balanced,Wet,55.8
Wet,49,60,Rough,685,Conservative,Wet,73.37142857142857
Hard,25,3,Rough,641,Balanced,Dry,55.42857142857143
Wet,22,16,Rough,670,Aggressive,Wet,81.68571428571428
Wet,39,56,Rough,716,Aggressive,Dry,85.8
Hard,28,47,Rough,619,Balanced,Dry,62.31428571428572
Hard,26,43,Smooth,707,Balanced,Wet,51.34285714285714
Hard,28,44,Smooth,729,Aggressive,Wet,61.885714285714286
Medium,37,32,Smooth,606,Aggressive,Wet,66.97142857142858
Medium,35,30,Rough,608,Conservative,Wet,61.28571428571428
Soft,46,46,Rough,626,Conservative,Wet,75.77142857142857
Medium,35,5,Smooth,729,Aggressive,Wet,62.71428571428572
Medium,32,33,Smooth,684,Balanced,Dry,51.11428571428572
Medium,18,52,Smooth,659,Conservative,Wet,46.02857142857143
Soft,21,13,Rough,711,Aggressive,Wet,86.05714285714285
Hard,10,15,Rough,685,Balanced,Dry,54.142857142857146
Wet,10,42,Smooth,729,Conservative,Dry,43.00000000000001
Soft,43,11,Rough,744,Conservative,Dry,65.17142857142856
Medium,41,69,Smooth,682,Balanced,Dry,58.057142857142864
Medium,34,18,Rough,703,Balanced,Wet,69.37142857142858
Wet,49,40,Smooth,687,Conservative,Wet,55.51428571428572
Wet,10,52,Smooth,619,Aggressive,Dry,64.42857142857143
Soft,25,28,Rough,725,Conservative,Wet,69.0
Hard,48,69,Smooth,697,Balanced,Dry,54.457142857142856
Medium,14,58,Rough,650,Balanced,Wet,71.08571428571429
Medium,31,63,Rough,687,Aggressive,Dry,80.19999999999999
Medium,38,23,Smooth,662,Conservative,Wet,45.885714285714286
Wet,12,15,Rough,688,Conservative,Wet,59.542857142857144
Soft,21,51,Rough,730,Conservative,Dry,66.48571428571428
Soft,35,5,Smooth,688,Balanced,Dry,57.71428571428572
Soft,25,36,Rough,691,Aggressive,Wet,90.14285714285714
Wet,46,3,Rough,675,Balanced,Wet,74.62857142857143
Wet,31,37,Rough,625,Conservative,Dry,61.48571428571429
Soft,38,40,Smooth,707,Conservative,Wet,58.31428571428571
Medium,23,13,Smooth,607,Aggressive,Dry,56.457142857142856
Medium,37,50,Smooth,732,Aggressive,Dry,64.54285714285714
Wet,14,64,Rough,738,Aggressive,Dry,81.94285714285714
Wet,39,51,Rough,641,Balanced,Dry,75.08571428571429
Medium,14,29,Rough,718,Aggressive,Wet,76.94285714285714
Hard,21,56,Rough,707,Conservative,Wet,57.199999999999996
Hard,25,29,Rough,746,Aggressive,Wet,74.14285714285714
Soft,35,41,Rough,719,Conservative,Wet,72.85714285714286
Hard,35,10,Rough,645,Balanced,Wet,63.42857142857143
Hard,30,26,Smooth,691,Conservative,Wet,39.714285714285715
Soft,48,23,Rough,745,Balanced,Wet,82.88571428571429
Hard,45,38,Rough,673,Conservative,Dry,54.42857142857143
Wet,42,17,Rough,695,Aggressive,Dry,80.82857142857144
Wet,39,44,Rough,617,Aggressive,Wet,89.08571428571429
Medium,46,11,Smooth,739,Aggressive,Dry,60.771428571428565
Wet,32,48,Smooth,714,Balanced,Wet,63.25714285714285
Hard,19,30,Rough,671,Aggressive,Wet,73.08571428571427
Wet,14,21,Rough,645,Balanced,Dry,65.8
Hard,45,43,Rough,637,Balanced,Wet,70.14285714285714
Wet,43,63,Smooth,729,Aggressive,Wet,77.6
Hard,40,24,Rough,608,Conservative,Dry,51.42857142857142
Hard,19,50,Smooth,707,Balanced,Dry,45.94285714285714
Soft,28,6,Rough,732,Conservative,Dry,61.457142857142856
Soft,41,5,Rough,697,Balanced,Dry,73.91428571428571
Soft,10,23,Rough,618,Conservative,Dry,60.285714285714285
Hard,14,18,Rough,670,Conservative,Wet,50.371428571428574
Soft,13,8,Rough,638,Conservative,Wet,63.74285714285713
Hard,25,35,Rough,641,Balanced,Dry,60.0
Wet,33,39,Rough,744,Balanced,Wet,77.17142857142858
Soft,25,23,Smooth,689,Aggressive,Wet,73.28571428571429
Medium,11,47,Rough,706,Conservative,Dry,53.91428571428571
Medium,37,62,Rough,747,Aggressive,Dry,81.25714285714287
Soft,41,68,Smooth,735,Conservative,Wet,62.91428571428571
Medium,36,52,Smooth,695,Conservative,Dry,44.628571428571426
Hard,29,53,Rough,746,Aggressive,Wet,78.37142857142857
Medium,33,41,Smooth,631,Conservative,Dry,42.457142857142856
Wet,21,44,Rough,725,Aggressive,Wet,85.48571428571428
Wet,44,13,Rough,746,Aggressive,Dry,80.65714285714286
Wet,42,28,Smooth,623,Balanced,Dry,57.400000000000006
Wet,42,5,Smooth,623,Aggressive,Dry,64.11428571428571
Soft,46,6,Rough,719,Conservative,Dry,65.05714285714285
Medium,21,36,Rough,617,Conservative,Dry,54.34285714285714
Wet,12,52,Smooth,739,Conservative,Wet,49.82857142857143
Soft,10,17,Rough,640,Conservative,Dry,59.42857142857143
